epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.511,1.70564,2.03757,1.66832,0.54321,0.47071,0.45686,0.18922,2.04663,2.06192,2.08596,0.067287,0.000330435,0.000330435
2,671.049,1.60234,1.63591,1.53863,0.65736,0.70084,0.63842,0.29922,1.58904,1.79075,1.82586,0.0342738,0.000650626,0.000650626
3,965.336,1.60851,1.57451,1.53876,0.61549,0.68984,0.66056,0.31959,1.67736,1.50588,1.83561,0.00124747,0.000957616,0.000957616
4,1249.4,1.5817,1.55778,1.50764,0.71163,0.7331,0.72775,0.3638,1.63471,1.48404,1.78009,0.0009406,0.0009406,0.0009406
5,1541.26,1.56646,1.54448,1.51553,0.67655,0.67992,0.69044,0.30727,1.73562,1.5557,1.76906,0.0009208,0.0009208,0.0009208
6,1835.71,1.48385,1.47854,1.4438,0.65354,0.70711,0.71489,0.34659,1.65642,1.48981,1.73789,0.000901,0.000901,0.000901
7,2141.03,1.49515,1.44177,1.45029,0.73567,0.78452,0.78473,0.42564,1.47149,1.3645,1.66134,0.0008812,0.0008812,0.0008812
8,2453.21,1.47738,1.45164,1.44585,0.70768,0.71548,0.75512,0.3874,1.61092,1.4188,1.76491,0.0008614,0.0008614,0.0008614
9,2732.38,1.45668,1.37035,1.44839,0.79804,0.79707,0.83699,0.45149,1.53155,1.2286,1.65236,0.0008416,0.0008416,0.0008416
10,3000.62,1.47689,1.39491,1.43333,0.75182,0.77406,0.81773,0.46404,1.42326,1.32495,1.58029,0.0008218,0.0008218,0.0008218
11,3271.69,1.45231,1.35562,1.41678,0.76159,0.80962,0.83065,0.47583,1.48414,1.14273,1.5788,0.000802,0.000802,0.000802
12,3537.31,1.39651,1.32465,1.42014,0.76484,0.84519,0.83548,0.46467,1.47468,1.20863,1.60247,0.0007822,0.0007822,0.0007822
13,3805.51,1.40929,1.31644,1.40491,0.82546,0.77176,0.8286,0.44007,1.54595,1.25302,1.59525,0.0007624,0.0007624,0.0007624
14,4078.81,1.39529,1.28339,1.37429,0.75791,0.79903,0.81049,0.45408,1.4846,1.22549,1.58451,0.0007426,0.0007426,0.0007426
15,4350.69,1.39307,1.35426,1.36602,0.75948,0.75308,0.78335,0.42187,1.51412,1.41079,1.6044,0.0007228,0.0007228,0.0007228
16,4639.67,1.38107,1.28789,1.368,0.79924,0.7829,0.84918,0.50266,1.40436,1.12906,1.51442,0.000703,0.000703,0.000703
17,4891.77,1.34563,1.2489,1.35923,0.83366,0.83264,0.87965,0.50303,1.47704,1.07046,1.56248,0.0006832,0.0006832,0.0006832
18,5141.56,1.31338,1.22025,1.35403,0.79857,0.83264,0.85258,0.51899,1.37096,1.13574,1.49247,0.0006634,0.0006634,0.0006634
19,5401.35,1.33211,1.17549,1.33479,0.80958,0.83264,0.84844,0.50347,1.38051,1.05943,1.47758,0.0006436,0.0006436,0.0006436
20,5651.91,1.33701,1.21592,1.33787,0.79555,0.87102,0.88957,0.51835,1.42029,1.05102,1.53849,0.0006238,0.0006238,0.0006238
21,5921.01,1.3211,1.1756,1.3485,0.84326,0.8159,0.86736,0.52304,1.39583,1.07733,1.51832,0.000604,0.000604,0.000604
22,6196.75,1.30873,1.17291,1.33894,0.89002,0.84653,0.90064,0.53647,1.34782,1.02446,1.47404,0.0005842,0.0005842,0.0005842
23,6474.25,1.28889,1.11273,1.32467,0.85365,0.8682,0.90454,0.54661,1.37772,0.95121,1.48452,0.0005644,0.0005644,0.0005644
24,6748.28,1.24967,1.11527,1.30134,0.83721,0.84519,0.89499,0.54611,1.33648,1.0054,1.45499,0.0005446,0.0005446,0.0005446
25,7024.9,1.27057,1.14387,1.30482,0.83045,0.85983,0.8943,0.54819,1.32512,0.99443,1.44723,0.0005248,0.0005248,0.0005248
26,7346.81,1.24493,1.08922,1.3117,0.86781,0.85155,0.9064,0.52203,1.44983,0.96593,1.53136,0.000505,0.000505,0.000505
27,32959.3,1.26887,1.08985,1.30906,0.80768,0.85222,0.8823,0.55317,1.32537,0.91388,1.45124,0.0004852,0.0004852,0.0004852
28,33278.8,1.20327,1.04648,1.28195,0.86641,0.841,0.90278,0.56854,1.29746,0.9309,1.42884,0.0004654,0.0004654,0.0004654
29,33579.1,1.21264,1.04112,1.26841,0.88903,0.85565,0.91444,0.58086,1.27994,0.88929,1.39261,0.0004456,0.0004456,0.0004456
30,33879.2,1.19578,1.02047,1.26768,0.908,0.88285,0.93024,0.5885,1.28587,0.84604,1.41815,0.0004258,0.0004258,0.0004258
31,34185,1.20947,0.99804,1.2688,0.86514,0.87029,0.89814,0.58401,1.24359,0.90215,1.40252,0.000406,0.000406,0.000406
32,34516,1.20132,1.00578,1.26724,0.86458,0.87238,0.91143,0.59587,1.25385,0.90664,1.40186,0.0003862,0.0003862,0.0003862
33,34870.2,1.20571,0.98482,1.25884,0.88429,0.87029,0.93169,0.60864,1.21651,0.85492,1.3621,0.0003664,0.0003664,0.0003664
