epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2408,1.68293,5.78684,1.81276,0.44952,0.36864,0.42256,0.21581,2.65832,10.1063,2.51648,0.083085,8.5e-05,8.5e-05
2,134.511,1.66541,5.88034,1.80378,0.60793,0.52771,0.52674,0.27192,2.29947,7.81847,2.11118,0.0651715,0.000171535,0.000171535
3,198.492,1.579,5.50004,1.76606,0.64216,0.65425,0.61553,0.27939,2.16088,6.26172,1.89638,0.0472545,0.000254506,0.000254506
4,264.592,1.56078,5.46658,1.75921,0.69272,0.73643,0.70306,0.34844,2.01954,5.72677,1.81901,0.0293339,0.000333913,0.000333913
5,326.346,1.52634,5.43606,1.74387,0.70581,0.76187,0.7448,0.38243,1.89374,5.10627,1.72515,0.0114098,0.000409756,0.000409756
6,385.922,1.59222,5.48705,1.7809,0.71589,0.76938,0.78093,0.40398,1.79386,4.84643,1.6741,0.0004505,0.0004505,0.0004505
7,441.827,1.56164,5.37441,1.74831,0.71058,0.75066,0.78326,0.40261,1.78994,4.82164,1.67045,0.0004406,0.0004406,0.0004406
8,495.759,1.50482,5.23351,1.72196,0.74612,0.76032,0.7912,0.40186,1.77636,4.61688,1.61934,0.0004307,0.0004307,0.0004307
9,548.055,1.53048,5.26338,1.72823,0.78788,0.76984,0.80962,0.41046,1.75794,4.48172,1.59145,0.0004208,0.0004208,0.0004208
10,603.061,1.48616,5.09616,1.69729,0.84056,0.76688,0.80849,0.41684,1.73655,4.36197,1.59654,0.0004109,0.0004109,0.0004109
11,654.946,1.50451,5.00898,1.68638,0.83664,0.76614,0.81373,0.43671,1.67655,4.30826,1.59079,0.000401,0.000401,0.000401
12,709.268,1.48119,5.02834,1.67353,0.82813,0.77147,0.81959,0.43973,1.6832,4.41975,1.61143,0.0003911,0.0003911,0.0003911
13,762.05,1.47164,5.00363,1.66203,0.83343,0.77817,0.81812,0.45062,1.69012,4.40774,1.61244,0.0003812,0.0003812,0.0003812
14,815.28,1.50089,4.87063,1.68289,0.82596,0.77777,0.82807,0.41794,1.75644,4.57963,1.61219,0.0003713,0.0003713,0.0003713
15,868.304,1.49046,4.85213,1.68375,0.83039,0.78085,0.82847,0.39191,1.79375,4.589,1.62128,0.0003614,0.0003614,0.0003614
16,922.482,1.45615,4.82349,1.67308,0.80425,0.79896,0.83027,0.41389,1.74871,4.5149,1.60186,0.0003515,0.0003515,0.0003515
17,975.725,1.47519,5.05237,1.68557,0.83244,0.79241,0.82885,0.47517,1.61778,4.31181,1.56275,0.0003416,0.0003416,0.0003416
18,1030.08,1.4827,4.92395,1.67639,0.87374,0.77003,0.83359,0.49332,1.56273,4.17963,1.52254,0.0003317,0.0003317,0.0003317
19,1082.5,1.42561,4.73345,1.63523,0.85897,0.76222,0.82195,0.46351,1.62763,4.26348,1.53874,0.0003218,0.0003218,0.0003218
20,1135.21,1.50791,4.95424,1.67893,0.82049,0.79582,0.82249,0.45388,1.65907,4.27268,1.55005,0.0003119,0.0003119,0.0003119
21,1188.78,1.42482,4.70209,1.64308,0.81889,0.78833,0.81533,0.45248,1.64214,4.27025,1.54975,0.000302,0.000302,0.000302
22,1241.82,1.45001,4.81033,1.65578,0.80925,0.80502,0.82574,0.45453,1.67523,4.19676,1.54885,0.0002921,0.0002921,0.0002921
23,1295.4,1.4594,4.791,1.66941,0.81835,0.80906,0.83388,0.44997,1.73813,4.19274,1.5543,0.0002822,0.0002822,0.0002822
24,1349.13,1.443,4.6921,1.63646,0.85314,0.79266,0.83996,0.45792,1.71852,4.18613,1.54198,0.0002723,0.0002723,0.0002723
25,1402,1.4344,4.69472,1.6387,0.86277,0.79871,0.84365,0.47955,1.65312,4.13153,1.51837,0.0002624,0.0002624,0.0002624
26,1454.95,1.40358,4.81561,1.63354,0.80153,0.81268,0.83926,0.47787,1.58323,4.11134,1.50467,0.0002525,0.0002525,0.0002525
27,1516.19,1.40947,4.64276,1.62547,0.83023,0.80257,0.84284,0.46134,1.59962,4.16938,1.50906,0.0002426,0.0002426,0.0002426
28,1566.53,1.40443,4.65898,1.64392,0.83164,0.78613,0.83722,0.44622,1.62897,4.17062,1.51256,0.0002327,0.0002327,0.0002327
29,1616.85,1.4037,4.6605,1.63525,0.83367,0.79683,0.8447,0.46079,1.61601,4.11053,1.50866,0.0002228,0.0002228,0.0002228
30,1671.93,1.412,4.64141,1.64284,0.84715,0.79363,0.84908,0.50653,1.55002,3.97449,1.49562,0.0002129,0.0002129,0.0002129
31,1726.88,1.38803,4.54359,1.63148,0.84883,0.7991,0.84641,0.51843,1.53513,3.89031,1.50004,0.000203,0.000203,0.000203
32,1781.37,1.40894,4.61492,1.64005,0.8223,0.80477,0.83247,0.51139,1.56882,3.92237,1.50678,0.0001931,0.0001931,0.0001931
33,1835.73,1.42085,4.55393,1.62383,0.82353,0.80584,0.84004,0.49784,1.58812,3.9615,1.50534,0.0001832,0.0001832,0.0001832
34,1890.3,1.3762,4.53676,1.61599,0.83883,0.82246,0.85467,0.50792,1.5725,3.9321,1.48931,0.0001733,0.0001733,0.0001733
35,1943.6,1.35658,4.51251,1.61119,0.84587,0.81557,0.8628,0.50004,1.55326,3.8898,1.47353,0.0001634,0.0001634,0.0001634
36,1998.38,1.37739,4.53926,1.61979,0.87451,0.79728,0.86485,0.5002,1.5456,3.87626,1.46627,0.0001535,0.0001535,0.0001535
37,2052.25,1.35894,4.46462,1.59733,0.85997,0.82277,0.86382,0.49972,1.54389,3.85732,1.46103,0.0001436,0.0001436,0.0001436
38,2107.21,1.36309,4.46999,1.57632,0.88289,0.81615,0.86797,0.51473,1.51474,3.79584,1.45057,0.0001337,0.0001337,0.0001337
39,2161.72,1.39524,4.49088,1.61524,0.85883,0.82262,0.86727,0.52425,1.50692,3.76859,1.45379,0.0001238,0.0001238,0.0001238
