epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2841,2.08631,3.39858,1.88102,0.00246,0.26202,0.12355,0.02947,2.94786,3.95275,2.0621,0.09208,8e-05,8e-05
2,52.0119,1.84998,2.79785,1.75602,0.41083,0.18919,0.10147,0.02551,2.50455,3.67063,1.85388,0.08317,0.000169958,0.000169958
3,76.9297,1.84323,2.46917,1.72611,0.4728,0.18919,0.15704,0.04886,2.48278,3.49577,1.81736,0.0742597,0.000259746,0.000259746
4,104.457,1.84745,2.50615,1.7097,0.33816,0.19972,0.17748,0.05577,2.41368,3.4144,1.62984,0.0653492,0.000349231,0.000349231
5,133.125,1.85163,2.30066,1.68306,0.72848,0.18919,0.30114,0.12199,2.03113,3.08873,1.47958,0.0564383,0.000438283,0.000438283
6,190.758,1.8162,2.16247,1.65255,0.74602,0.18378,0.42484,0.25192,1.74098,2.81333,1.39667,0.0475268,0.00052677,0.00052677
7,240.249,1.76772,2.08523,1.60451,0.72,0.19758,0.43067,0.18962,2.20118,2.67548,1.46563,0.0386146,0.000614564,0.000614564
8,280.568,1.77505,2.10387,1.59442,0.60387,0.21565,0.42589,0.19282,2.29811,2.60737,1.52174,0.0297015,0.000701536,0.000701536
9,318.797,1.74686,2.05347,1.55086,0.57654,0.23855,0.46228,0.24153,2.02573,2.38067,1.4388,0.0207876,0.000787559,0.000787559
10,353.578,1.74535,2.01716,1.55804,0.47848,0.29811,0.51362,0.25916,1.93092,2.1138,1.41178,0.0118725,0.000872507,0.000872507
11,399.294,1.74452,1.95699,1.54782,0.44219,0.50003,0.51898,0.22673,2.09223,1.96838,1.47129,0.00295626,0.000956258,0.000956258
12,436.431,1.76859,1.94763,1.61363,0.43037,0.54205,0.53431,0.23342,2.07804,1.96309,1.4659,0.000970736,0.000970736,0.000970736
13,474.366,1.66057,1.86543,1.51999,0.44716,0.60783,0.52049,0.24423,2.06459,2.04163,1.45464,0.000965239,0.000965239,0.000965239
14,511.678,1.65967,1.82887,1.51647,0.48641,0.58756,0.5142,0.24174,2.04685,2.07486,1.43772,0.000959289,0.000959289,0.000959289
15,548.23,1.64255,1.81882,1.52089,0.54764,0.48371,0.53648,0.27559,1.97339,1.94993,1.40289,0.000952889,0.000952889,0.000952889
16,588.016,1.61528,1.80773,1.50336,0.49617,0.61276,0.52172,0.27009,1.98045,1.88354,1.4238,0.000946048,0.000946048,0.000946048
17,626.921,1.62119,1.77857,1.50969,0.46818,0.55756,0.51764,0.2865,1.81084,1.78126,1.43215,0.000938772,0.000938772,0.000938772
18,660.983,1.65932,1.7662,1.53104,0.44547,0.63221,0.54556,0.28585,1.83817,1.78608,1.46343,0.000931067,0.000931067,0.000931067
19,694.302,1.65006,1.79584,1.47877,0.45211,0.61685,0.52881,0.2495,2.16002,1.86825,1.47701,0.000922942,0.000922942,0.000922942
20,728.57,1.6499,1.76768,1.5064,0.77429,0.44095,0.53038,0.2597,2.03877,1.88625,1.45389,0.000914405,0.000914405,0.000914405
21,761.698,1.64014,1.78892,1.51137,0.68875,0.53945,0.53892,0.27204,1.9634,1.77684,1.41401,0.000905463,0.000905463,0.000905463
22,794.572,1.57296,1.69788,1.47882,0.46419,0.59482,0.5614,0.28688,1.93037,1.73269,1.43044,0.000896127,0.000896127,0.000896127
23,828.07,1.55069,1.72407,1.46376,0.58098,0.57737,0.61043,0.30221,1.87557,1.68954,1.42676,0.000886404,0.000886404,0.000886404
24,861.187,1.59369,1.72763,1.48679,0.64614,0.63087,0.64136,0.30802,1.87291,1.72125,1.41343,0.000876305,0.000876305,0.000876305
25,894.462,1.57926,1.66365,1.49105,0.56096,0.59152,0.57653,0.27026,2.02967,1.81528,1.41435,0.000865839,0.000865839,0.000865839
26,927.707,1.62104,1.65603,1.46157,0.54024,0.54075,0.53551,0.24686,2.06334,1.91478,1.42655,0.000855018,0.000855018,0.000855018
27,960.42,1.56808,1.74904,1.47167,0.59332,0.64168,0.61797,0.31693,1.72963,1.64372,1.39917,0.000843851,0.000843851,0.000843851
28,994.668,1.54674,1.68625,1.44607,0.58901,0.66669,0.64393,0.31758,1.81402,1.59098,1.39402,0.000832349,0.000832349,0.000832349
29,1029.02,1.51388,1.62605,1.43914,0.67979,0.65845,0.67004,0.30608,1.94057,1.56866,1.40358,0.000820525,0.000820525,0.000820525
30,1065.57,1.52865,1.57768,1.45638,0.67652,0.65631,0.67243,0.30442,1.94916,1.50482,1.38696,0.000808389,0.000808389,0.000808389
31,1103.87,1.55717,1.59906,1.46434,0.65624,0.73455,0.71817,0.33179,1.87446,1.46179,1.34117,0.000795954,0.000795954,0.000795954
32,1138.03,1.53377,1.56557,1.42991,0.69514,0.70661,0.73244,0.34791,1.73191,1.44521,1.31535,0.000783231,0.000783231,0.000783231
33,1172.4,1.48719,1.5458,1.40471,0.653,0.71951,0.71319,0.35486,1.61159,1.45808,1.29915,0.000770234,0.000770234,0.000770234
34,1206.58,1.49465,1.59215,1.44148,0.71955,0.65341,0.67507,0.3515,1.62066,1.48123,1.30994,0.000756976,0.000756976,0.000756976
35,1240.19,1.50418,1.58963,1.42683,0.61686,0.69416,0.67904,0.33715,1.69537,1.5513,1.32621,0.000743468,0.000743468,0.000743468
36,1273.69,1.48488,1.58584,1.41104,0.61064,0.71603,0.68216,0.33779,1.69598,1.50741,1.32568,0.000729725,0.000729725,0.000729725
37,1311.42,1.50712,1.54777,1.40468,0.59142,0.73984,0.67762,0.34575,1.64758,1.4833,1.32658,0.000715761,0.000715761,0.000715761
38,1348.51,1.49314,1.56709,1.41652,0.58517,0.72204,0.69868,0.35539,1.6641,1.46757,1.33667,0.000701588,0.000701588,0.000701588
39,1383.03,1.48665,1.52809,1.41554,0.59861,0.72204,0.71874,0.34301,1.75516,1.44835,1.33142,0.000687222,0.000687222,0.000687222
40,1417.41,1.51917,1.59747,1.47293,0.6541,0.66245,0.71033,0.33271,1.86074,1.49772,1.33109,0.000672675,0.000672675,0.000672675
41,1452.5,1.47317,1.54037,1.42108,0.71792,0.65606,0.71285,0.32462,1.89382,1.53346,1.34596,0.000657963,0.000657963,0.000657963
42,1488.31,1.47345,1.5229,1.43724,0.74048,0.64835,0.7269,0.347,1.8187,1.47799,1.33901,0.000643101,0.000643101,0.000643101
43,1522.8,1.38343,1.56822,1.39837,0.8058,0.63546,0.71737,0.36664,1.65548,1.39935,1.29498,0.000628101,0.000628101,0.000628101
44,1558.31,1.45784,1.52409,1.41782,0.62858,0.73256,0.72202,0.35569,1.66378,1.39462,1.28877,0.000612981,0.000612981,0.000612981
45,1593.62,1.40983,1.53782,1.43222,0.68087,0.69804,0.71316,0.34664,1.6748,1.40415,1.28117,0.000597754,0.000597754,0.000597754
46,1627.65,1.38347,1.47308,1.38119,0.6919,0.69406,0.69715,0.34374,1.66965,1.39746,1.27275,0.000582435,0.000582435,0.000582435
47,1660.9,1.36706,1.4777,1.39706,0.72914,0.70312,0.72121,0.35852,1.66449,1.38311,1.27583,0.00056704,0.00056704,0.00056704
48,1694.65,1.3358,1.41284,1.33519,0.735,0.69804,0.73439,0.3808,1.6359,1.34215,1.27867,0.000551584,0.000551584,0.000551584
49,1728.77,1.41067,1.49531,1.38461,0.77265,0.70351,0.75706,0.39148,1.61643,1.31903,1.28512,0.000536081,0.000536081,0.000536081
50,1763.09,1.36466,1.47951,1.39105,0.71665,0.72204,0.75907,0.39544,1.63757,1.31945,1.29603,0.000520548,0.000520548,0.000520548
51,1797.04,1.42825,1.45294,1.39453,0.71309,0.76186,0.76953,0.3808,1.61627,1.33918,1.30282,0.000505,0.000505,0.000505
52,1830.66,1.33531,1.49575,1.36195,0.69837,0.74821,0.74952,0.38488,1.61898,1.35277,1.29484,0.000489452,0.000489452,0.000489452
53,1864.77,1.37429,1.45574,1.354,0.70392,0.76962,0.76241,0.38848,1.57303,1.35809,1.2798,0.000473919,0.000473919,0.000473919
54,1905.44,1.37938,1.42386,1.37469,0.71953,0.7456,0.75645,0.40689,1.47009,1.33155,1.26141,0.000458416,0.000458416,0.000458416
55,1940.68,1.40823,1.48045,1.37976,0.69825,0.74946,0.75681,0.42106,1.4059,1.31236,1.25207,0.00044296,0.00044296,0.00044296
56,1974.79,1.3763,1.39653,1.33608,0.67918,0.77076,0.76832,0.43079,1.39683,1.29437,1.2508,0.000427565,0.000427565,0.000427565
57,2010.16,1.35329,1.40856,1.3482,0.67545,0.78014,0.77199,0.42348,1.42955,1.29632,1.24654,0.000412246,0.000412246,0.000412246
58,26670.1,1.33384,1.35828,1.33918,0.68366,0.78014,0.76285,0.40449,1.51346,1.31064,1.25023,0.000397019,0.000397019,0.000397019
59,26691.8,1.35286,1.49389,1.37085,0.70335,0.74801,0.75995,0.38722,1.65702,1.3284,1.25485,0.000381899,0.000381899,0.000381899
60,26712,1.34932,1.38274,1.32573,0.73083,0.74148,0.76071,0.39891,1.63749,1.30712,1.2359,0.000366899,0.000366899,0.000366899
61,26735.6,1.36452,1.37117,1.33524,0.73932,0.73333,0.76503,0.41333,1.56778,1.29965,1.22377,0.000352037,0.000352037,0.000352037
62,26761.8,1.37376,1.39033,1.34785,0.75573,0.72738,0.7695,0.42729,1.48961,1.27494,1.20778,0.000337325,0.000337325,0.000337325
63,26783.7,1.31333,1.36414,1.35113,0.77261,0.70812,0.77382,0.43666,1.43307,1.24438,1.19624,0.000322778,0.000322778,0.000322778
64,26806.3,1.27424,1.34885,1.32124,0.77387,0.72131,0.78566,0.44318,1.41609,1.23654,1.19961,0.000308412,0.000308412,0.000308412
65,26832.2,1.29016,1.3431,1.32356,0.79855,0.71151,0.78502,0.44542,1.44,1.23653,1.21195,0.000294239,0.000294239,0.000294239
66,26854.7,1.32481,1.37809,1.32148,0.78588,0.69955,0.76042,0.43893,1.4711,1.23536,1.22124,0.000280275,0.000280275,0.000280275
67,26876.4,1.31484,1.33441,1.34196,0.78357,0.70903,0.76525,0.43249,1.50511,1.24162,1.23342,0.000266532,0.000266532,0.000266532
68,26898.2,1.26393,1.34171,1.29646,0.76407,0.72456,0.78037,0.43341,1.52481,1.24049,1.23383,0.000253024,0.000253024,0.000253024
69,26920.1,1.28162,1.33916,1.31606,0.77314,0.73256,0.77767,0.42794,1.54684,1.24015,1.23077,0.000239766,0.000239766,0.000239766
70,26943.1,1.28352,1.39948,1.32397,0.79221,0.74856,0.79715,0.43187,1.57644,1.23642,1.22665,0.000226769,0.000226769,0.000226769
71,26969.4,1.26149,1.32535,1.30979,0.79982,0.72863,0.79044,0.43125,1.59742,1.24543,1.22837,0.000214046,0.000214046,0.000214046
72,26993.5,1.29495,1.32065,1.32913,0.77162,0.74498,0.79085,0.42986,1.60692,1.24915,1.22483,0.000201611,0.000201611,0.000201611
73,27016.1,1.30702,1.35391,1.32925,0.78258,0.74056,0.79006,0.43523,1.60653,1.24993,1.21861,0.000189475,0.000189475,0.000189475
74,27038.6,1.26891,1.2858,1.28053,0.77152,0.74056,0.79039,0.43851,1.58986,1.24413,1.21686,0.000177651,0.000177651,0.000177651
75,27060.8,1.23377,1.26827,1.2892,0.75944,0.74442,0.77158,0.45147,1.51596,1.21468,1.19891,0.000166149,0.000166149,0.000166149
76,27083.2,1.20813,1.28023,1.29127,0.74272,0.74631,0.77269,0.46038,1.47184,1.21085,1.19469,0.000154982,0.000154982,0.000154982
77,27107.2,1.27984,1.29875,1.30525,0.73868,0.74887,0.7724,0.46708,1.45186,1.20759,1.19313,0.000144161,0.000144161,0.000144161
78,27129.7,1.21521,1.26842,1.27554,0.76167,0.74785,0.77601,0.47456,1.43628,1.20616,1.19257,0.000133695,0.000133695,0.000133695
79,27152.7,1.21796,1.32751,1.29449,0.75239,0.75053,0.78061,0.47751,1.42958,1.20463,1.19253,0.000123596,0.000123596,0.000123596
80,27175,1.25182,1.32414,1.30922,0.74782,0.75516,0.78356,0.47288,1.42769,1.20859,1.19207,0.000113873,0.000113873,0.000113873
81,27197.5,1.20872,1.26629,1.28303,0.73861,0.7578,0.78912,0.47668,1.42508,1.20593,1.19288,0.000104537,0.000104537,0.000104537
82,27220,1.23159,1.26112,1.28308,0.72118,0.75703,0.79002,0.47616,1.41931,1.19818,1.19369,9.55951e-05,9.55951e-05,9.55951e-05
83,27242.4,1.22473,1.28102,1.28803,0.72318,0.77144,0.79652,0.48086,1.40057,1.18377,1.19503,8.70577e-05,8.70577e-05,8.70577e-05
